roadmap,doing,各学部自治会を再建,✅,🛠️,🛠️,🛠️,❓,❓,❓,❓,❓,❓
roadmap,doing,各学部自治会が参加,✅,✅,✅,❓,❓,❓,❓,❓,❓,❓
chuo,todo,中央委員会再建を宣言,❓
chuo,todo,本部が承認,❓
